,Website,Areas of Specialization,Bio
Dragan Miljkovic,https://www.ndsu.edu/agecon/faculty/miljkovic/#c625001,"Research areas of interest include agricultural price analysis, international economics, and agricultural and food policy including human nutrition, obesity, and food safety.","Dragan Miljkovic is professor of agricultural economics in the Department of Agribusiness & Applied Economics at North Dakota State University. Dr. Miljkovic holds B.S. and M.S. degrees in Economics from the University of Belgrade, and Ph.D. in Agricultural Economics from the University of Illinois at Urbana-Champaign."
Frayne Olson,https://www.ndsu.edu/agecon/faculty/olson/#c625016,"Research in evaluating crop marketing strategies, crop outlook and price analysis, and the economics of crop contracting.",Dr. Frayne Olson is the Crop Economist/Marketing Specialist with the North Dakota State University Extension and Director of the Quentin Burdick Center for Cooperatives.
Bryon Parman,https://www.ndsu.edu/agecon/faculty/parman/#c654590,,
Tim Petry,https://www.ndsu.edu/agecon/faculty/petry/#c625018,Livestock Marketing Economist,Tim Petry was raised on a livestock ranch in Northwestern North Dakota. He graduated from North Dakota State University with a major in Agricultural Economics in 1969 and served two years in the US Army.
Xudong Rao,https://www.ndsu.edu/agecon/faculty/rao/#c629066,"Farm and Agribusiness Management, Risk Analysis, Efficiency and Productivity, Technology Adoption, Food and Agricultural Policy, International Agricultural Development.","Assistant Professor, Department of Agribusiness and Applied Economics, North Dakota State University."
Veeshan Rayamajhee,https://www.ndsu.edu/centers/pcpe/about/directory/veeshan_rayamajhee/,His research combines insights from Public Choice and New Institutional Economics to understand individual and collective responses to covariate shocks.,Veeshan Rayamajhee is a scholar at the Challey Institute for Global Innovation and Growth with the Center for the Study of Public Choice and Private Enterprise and an assistant professor of economics in the Department of Agribusiness and Applied Economics at North Dakota State University.
David Ripplinger,https://www.ndsu.edu/agecon/faculty/ripplinger/#c629078,David conducts research and provides support to farmers and the bioenergy industry.,David Ripplinger is an Associate Professor in the Department of Agribusiness and Applied Economics at North Dakota State University and bioproducts/bioenergy economics specialist with NDSU Extension.
David Roberts,https://www.ndsu.edu/agecon/faculty/roberts/#c629137,His research focuses on the impacts of agricultural production methods on the environment and natural resources. David is particularly interested in the economics of precision agriculture technologies and the response of cropping patterns and land use change to emerging biofuels policy at the Federal level.,David Roberts is an Assistant Professor of Agribusiness and Applied Economics at North Dakota State University.
Kristi Schweiss,https://www.ndsu.edu/agecon/faculty/schweiss/#c629139,,
Anupa Sharma,https://www.ndsu.edu/agecon/faculty/sharma/#c629150,Develops quantitative methods to address issues pertinent to International Trade.,Anupa Sharma is an Assistant Professor in the Department of Agribusiness and Applied Economics at North Dakota State University. She also serves as the Assistant Director for the Center for Agricultural Policy and Trade Studies (CAPTS).
Cheryl Wachenheim,https://www.ndsu.edu/agecon/faculty/wachenheim/#c629162,"Research interests focus on eliciting perceptions and valuations from consumers, firms, students and other stakeholders and decision makers.  Analysis then allows for identification of high-value marketing and management strategies.",Cheryl Wachenheim is a Professor in the Department of Agribusiness and Applied Economics at North Dakota State University.
William Wilson,https://www.ndsu.edu/agecon/faculty/wilson/#c629178,"His focus is risk and strategy as applied to agriculture and agribusiness with a particular focus on agtechnology development and commercialization, procurement, transportation and logistics, international marketing and competition.","Dr. William W. Wilson received his PhD in Agricultural Economics from the University of Manitoba in 1980. Since then he has been a Professor at North Dakota State University in Agribusiness and Applied Economics with periodic sabbaticals at Stanford University. Recently, he was named as a University Distinguished Professor at NDSU which an honorary position is, and a great achievement."
